Scenario,Machine_Learing_Algorithms,MAE,MSE,RMSE,R2
CIgr_CD,CatBoost,2.465762899,8.608829089,2.934080621,0.158949275
CIre_CD,Decision_Tree ,2.277777778,5.805555556,2.409472049,0.432818719
EVI2_CD,ElasticNet,2.611190429,8.780630166,2.963212811,0.142164946
NDRE_CD,Gradient_Boosting ,2.985155193,9.892692429,3.145265081,0.03352058
NDVI_CD,Huber ,2.326490545,8.540728679,2.922452511,0.165602433
CIre_CD_16Env,Lasso,2.512646628,7.808705377,2.794406087,0.237118399
NDRE_CD_16Env,Passive_Aggressive ,1.82381209,5.346855252,2.312326805,0.47763204
CIgr_CD_6FE,RF ,1.779666667,3.929397222,1.982270724,0.616112441
CIre_CD_6FE,Ridge,1.683606467,4.597386281,2.144151646,0.550852384
CIre_CD_6FE,SVR,2.424761938,7.469135636,2.732971942,0.270293105
EVI2_CD_6FE,SVR,2.534823039,8.755599476,2.958986224,0.144610352
EVI2_CD_6FE,XGBoost,1.388127295,2.81329684,1.677288538,0.725151316
NDRE_CD_6FE,KNN,2.615555556,9.415688889,3.068499452,0.08012206
NDRE_CD_6FE,Lasso,2.491172639,7.705998862,2.775968094,0.247152445
NDRE_CD_6FE,Linear ,1.58129071,3.77265937,1.942333486,0.631425149
NDRE_CD_6FE,M-estimators,1.675938363,4.314647371,2.077172928,0.578474928
NDVI_CD_6FE,Lasso,2.578882709,8.675271582,2.945381398,0.152458089
NDVI_CD_6FE,Linear ,2.215785751,8.344760134,2.888729848,0.184747834
NDVI_CD_6FE,M-estimators,2.179802559,8.228398461,2.868518513,0.196115939
NDVI_CD_6FE,Passive_Aggressive ,2.608514152,12.32546945,3.510764796,-0.204152727
NDVI_CD_6FE,RF ,1.985,4.951790778,2.225261957,0.516228377
NDVI_CD_6FE,Ridge,2.213221854,9.036355727,3.006053181,0.117181505
NDVI_CD_6FE,SVR,2.602874792,9.118661674,3.019712184,0.109140519
NDVI_CD_6FE,XGBoost,1.652562586,3.56542378,1.888232978,0.651671299
CIgr_CV,CatBoost,2.543264329,7.401950022,2.720652499,0.276856891
CIre_CV,RF ,2.165888889,6.875411667,2.622100621,0.328297739
EVI2_CV,SVR,2.651872068,8.751185876,2.958240334,0.145041544
EVI2_CV,XGBoost,3.052872499,12.464072,3.530449264,-0.217693683
NDRE_CV,CatBoost,2.216872249,6.150243687,2.479968485,0.399143965
NDRE_CV,Decision_Tree ,2.255555556,6.418888889,2.533552622,0.372898323
NDRE_CV,ElasticNet,2.756222775,9.488760493,3.080383173,0.072983235
NDRE_CV,Gradient_Boosting ,2.264155288,6.468490838,2.543322795,0.368052397
NDRE_CV,Huber ,2.462012548,7.616751669,2.759846313,0.255871565
NDRE_CV,KNN,2.646666667,8.993555556,2.998925734,0.121362924
NDRE_CV,Lasso,2.748628654,9.427452636,3.070415711,0.078972786
NDRE_CV,Linear ,2.49781745,7.791936103,2.791403966,0.238756695
NDRE_CV,M-estimators,2.462012548,7.616751669,2.759846313,0.255871565
NDRE_CV,Passive_Aggressive ,2.924261659,15.06031286,3.880761892,-0.471336801
NDRE_CV,RF ,2.362,6.761342,2.600258064,0.339441923
NDRE_CV,Ridge,2.511990552,7.864211769,2.804320197,0.23169563
NDRE_CV,SVR,2.622658513,8.444844177,2.906001407,0.174969994
NDRE_CV,XGBoost,2.254468589,6.41288734,2.532367931,0.373484653
NDVI_CV,CatBoost,2.13280645,7.601363592,2.757057053,0.257374923
NDVI_CV,Decision_Tree ,2.266666667,8.382222222,2.895206767,0.181087927
NDVI_CV,ElasticNet,2.769324886,9.628921674,3.103050382,0.059290007
NDVI_CV,Gradient_Boosting ,2.128982268,7.600131319,2.756833568,0.257495312
NDVI_CV,Huber ,2.516426228,8.027697958,2.833319247,0.215723635
NDVI_CV,KNN,2.686666667,9.663955556,3.108690328,0.055867326
NDVI_CV,Lasso,2.772901651,9.65740458,3.107636494,0.056507332
NDVI_CV,Linear ,2.512850784,8.041927139,2.83582918,0.214333496
NDVI_CV,M-estimators,2.516426228,8.027697958,2.833319247,0.215723635
NDVI_CV,Passive_Aggressive ,3.033122725,11.88319542,3.4472011,-0.160944192
NDVI_CV,RF ,2.147888889,6.898355222,2.626472011,0.326056238
NDVI_CV,Ridge,2.52661758,8.104298695,2.846804998,0.208240026
NDVI_CV,SVR,2.760704185,9.387625814,3.063923272,0.082863719
NDVI_CV,XGBoost,2.264582687,8.367204682,2.892612086,0.182555085
CIgr_CV_16Env,CatBoost,2.17921123,7.078530129,2.660550719,0.308453817
CIgr_CV_16Env,Decision_Tree ,2.566666667,9.854444444,3.139178944,0.037257267
CIgr_CV_16Env,ElasticNet,2.687393864,9.080519967,3.013390112,0.112866823
CIgr_CV_16Env,Gradient_Boosting ,1.890618477,6.393027005,2.528443593,0.375424934
CIgr_CV_16Env,Huber ,5.044022252,34.90552934,5.90809016,-2.410140968
CIgr_CV_16Env,KNN,2.995555556,11.11555556,3.333999933,-0.085948619
CIgr_CV_16Env,Lasso,2.761628988,9.487129941,3.080118495,0.073142534
CIgr_CV_16Env,Linear ,3.84735572,19.99467024,4.47154003,-0.953405246
CIgr_CV_16Env,M-estimators,5.044022252,34.90552934,5.90809016,-2.410140968
CIgr_CV_16Env,Passive_Aggressive ,2.201449174,6.739683886,2.596090115,0.34155784
CIgr_CV_16Env,RF ,1.794666667,5.461954,2.337082369,0.466387319
CIgr_CV_16Env,Ridge,2.578587094,8.746121281,2.957384196,0.145536336
CIgr_CV_16Env,SVR,2.774637486,9.185206618,3.03071058,0.102639325
CIgr_CV_16Env,XGBoost,1.727222294,3.834906999,1.958291858,0.625343786
CIre_CV_16Env,CatBoost,2.049980487,6.205778335,2.491139967,0.393718436
CIre_CV_16Env,Decision_Tree ,2.311111111,8.233333333,2.869378562,0.19563382
CIre_CV_16Env,ElasticNet,2.676008345,9.022225902,3.003702033,0.118561937
CIre_CV_16Env,Gradient_Boosting ,1.7242686,6.241316434,2.498262683,0.390246495
CIre_CV_16Env,Huber ,4.978181894,33.80051339,5.813820895,-2.302185002
CIre_CV_16Env,KNN,2.884444444,10.14666667,3.185383284,0.008708238
CIre_CV_16Env,Lasso,2.750861879,9.426015098,3.070181607,0.079113228
CIre_CV_16Env,Linear ,3.784701938,19.29531549,4.392643337,-0.885080876
CIre_CV_16Env,M-estimators,4.978181894,33.80051339,5.813820895,-2.302185002
CIre_CV_16Env,Passive_Aggressive ,3.977450634,19.09976753,4.37032808,-0.865976565
CIre_CV_16Env,RF ,1.821,5.530347444,2.351669076,0.459705533
CIre_CV_16Env,Ridge,2.55353272,8.474546755,2.911107479,0.172068162
CIre_CV_16Env,SVR,2.774508495,9.199283834,3.033032119,0.101264033
CIre_CV_16Env,XGBoost,1.58576409,3.074005563,1.753284222,0.699681039
EVI2_CV_16Env,CatBoost,2.241314358,7.318450528,2.705263486,0.285014482
EVI2_CV_16Env,Decision_Tree ,3.522222222,19.17888889,4.379370833,-0.873706429
EVI2_CV_16Env,ElasticNet,2.700112172,9.207291632,3.03435193,0.1004817
EVI2_CV_16Env,Gradient_Boosting ,1.955908907,6.116865446,2.47322976,0.402404895
EVI2_CV_16Env,Huber ,5.344153919,38.58451837,6.211643774,-2.769564574
EVI2_CV_16Env,KNN,2.995555556,11.11555556,3.333999933,-0.085948619
EVI2_CV_16Env,Lasso,2.757271717,9.528720075,3.086862497,0.069079332
EVI2_CV_16Env,Linear ,4.016910898,21.85562443,4.674999939,-1.135213579
EVI2_CV_16Env,M-estimators,5.344153919,38.58451837,6.211643774,-2.769564574
EVI2_CV_16Env,Passive_Aggressive ,4.021028851,19.55053281,4.421598445,-0.910014663
EVI2_CV_16Env,RF ,1.958777778,6.146665444,2.479246951,0.399493546
