Machine Learing Algorithms,Scenario,MAE,MSE,RMSE,Test_R2
CatBoost,CIre_CV_6FE,1.488427463,3.199972391,1.788846665,0.687374546
Decision_Tree ,NDVI_CV_6FE,1.355555556,2.253333333,1.5011107,0.779857677
ElasticNet,NDRE_CD_6FE,2.453303775,7.601602821,2.757100437,0.257351552
Gradient_Boosting ,CIre_CD_6FE,1.273118714,2.214204062,1.488020182,0.783680462
Huber ,CIre_CD_6FE,1.61431639,4.173270275,2.042858359,0.592286947
KNN,NDVI_CD,1.986666667,5.774222222,2.402961136,0.43587987
Lasso,NDRE_CD,2.491172639,7.705998862,2.775968094,0.247152445
Linear ,CIre_CD_6FE,1.504860893,3.592274725,1.895329714,0.649048061
M-estimators,CIre_CD_6FE,1.61431639,4.173270275,2.042858359,0.592286947
Passive_Aggressive ,NDRE_CD_16Env,1.82381209,5.346855252,2.312326805,0.47763204
RF ,EVI2_CV_6FE,1.489,3.755809222,1.937991027,0.633071346
Ridge,CIre_CD_6FE,1.683606467,4.597386281,2.144151646,0.550852384
SVR,CIre_CD,2.3297091,6.95599412,2.63742187,0.320425131
XGBoost,CIre_CV_6FE,1.005876615,1.50886651,1.228359276,0.852589329
